true_label,original_sent,text_output
2,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .","NEUTRAL
The sentence simply lists the countries where the customers come from without expressing any positive or negative sentiment."
2,"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .","POSITIVE
The sentence describes a successful investment by CapMan's real estate fund, indicating a positive outcome."
2,The value of the contracts is about EUR 3.3 mn .,"Label: POSITIVE
Explanation: The sentence indicates a positive sentiment as it highlights the value of the contracts being around EUR 3.3 million, suggesting a successful business deal."
2,"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .","POSITIVE
The sentence expresses a positive sentiment as it highlights the successful export business of Honkarakenne to Japan, indicating growth and success in their operations."
0,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .","POSITIVE
The sentence expresses a positive sentiment by highlighting the potential value of Tellabs to Nokia Siemens or Nortel due to its leading supply status with Verizon and high-growth products."
2,"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .","NEUTRAL
The sentence provides factual information about the order of four ball mills for treating ore in a platinum mine without expressing any positive or negative sentiment."
0,"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .","POSITIVE
The sentence indicates a positive sentiment as it highlights an improvement in the company's net profit from a net loss in the previous year."
0,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","Label: POSITIVE
Explanation: The sentence indicates a positive sentiment as it highlights an increase in the company's order book by 24.2% on the year, with international orders also showing growth."
2,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,"Label: NEUTRAL
Explanation: The sentence simply states that Aspo has investigated the sales opportunities of Kaukomarkkinat's electronics business without expressing any positive or negative sentiment."
0,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,"Label: POSITIVE
Explanation: The sentence indicates an improvement in the company's financial performance as the net loss has narrowed from the previous year."
