true_label,original_sent,text_output
0,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .","POSITIVE
The sentence expresses a positive sentiment as it discusses the company's expectation to swing from a loss to a net profit in the first quarter of 2010."
2,"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .","NEUTRAL
This sentence is neutral as it simply states a fact about the distribution of Trainers House's revenues without expressing any positive or negative sentiment."
2,"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .","POSITIVE
The sentence expresses a positive sentiment as it mentions the construction of a new apartment block close to the city center, which can be seen as a desirable and convenient location for potential residents."
0,The actions are expected to deliver annual cost savings of some EUR15-20m .,"POSITIVE
The sentence expresses a positive sentiment as it mentions the expectation of delivering annual cost savings, which is typically seen as a positive outcome in business contexts."
2,The net sales of the Power Plants business were EUR 710.3 million in 2005 .,"POSITIVE
The sentence provides factual information about the net sales of the Power Plants business, without expressing any positive or negative sentiment."
2,"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .","NEUTRAL
The sentence provides factual information about a change in holding of shares in Tieto Corporation without expressing any positive or negative sentiment."
2,Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,"NEUTRAL
This sentence is providing a factual explanation of what Runway Visual Range is without expressing any positive or negative sentiment."
2,The plant will collect raw material from the Baltic Sea region .,"NEUTRAL
This sentence is neutral as it simply states a fact without expressing any positive or negative sentiment."
1,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .","NEGATIVE
The sentence is classified as 'NEGATIVE' because it conveys a negative sentiment by mentioning that ArcelorMittal had lost 7.26% of its value on Euronext Paris, making it one of the top fallers in the blue-chip category."
2,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .","NEUTRAL
This sentence is providing factual information about the size of the technology park without expressing any positive or negative sentiment."
2,The dividends payable annually shall be deducted from the share subscription price .,"NEGATIVE
The sentence is neutral in sentiment as it simply states a financial transaction without expressing any positive or negative emotions."
2,"Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per share .","NEUTRAL
The sentence provides factual information about a business decision without expressing any positive or negative sentiment."
0,"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .","POSITIVE
The sentence expresses a positive sentiment as it indicates an increase in pre-tax profit from EUR 164.7 mn to EUR 397.4 mn."
2,Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year .,"POSITIVE
The sentence expresses excitement and anticipation for the release of Resident Evil Degeneration on N-Gage, indicating a positive sentiment."
2,"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo .","NEUTRAL
This sentence provides factual information about the port facilities' throughput without expressing any positive or negative sentiment."
0,Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,"POSITIVE
The sentence expresses positive sentiment as it highlights an increase in Ruukki's order book at the end of 2010, both year-on-year and quarter-on-quarter."
1,Sales by Seppala diminished by 6 per cent .,"NEGATIVE
The sentence indicates a decrease in sales, which is typically viewed as a negative outcome in business."
2,The estimated annual value of the frame agreement is about EUR 50mn .,"POSITIVE
The sentence expresses a neutral statement about the estimated annual value of the frame agreement, indicating a factual and positive sentiment."
2,Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . '',"NEUTRAL
The sentence describes the subject-matter of the invention without expressing any positive or negative sentiment."
2,He wore a black beanie-type cap and a black jacket .,"NEUTRAL
The sentence describes the clothing items worn by the person without expressing any positive or negative sentiment."
1,The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,"NEGATIVE
The sentence expresses a negative sentiment as it mentions a net loss for the real estate company, indicating a decrease in profitability compared to the previous quarter."
2,"Retail chain Suomen L+ñhikauppa was given the index 5.8 , airline SAS 5.8 , TeliaSonera 's broadband 6.1 , German retail chain Lidl 6.1 , Tele Finland 's mobile subscriptions 6.1 , Tallink shipping line 6.3 , and power company Helsinki Energy 6.3 .","NEUTRAL
The sentence provides factual information about various companies and their respective index ratings, without expressing any positive or negative sentiment."
2,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,"NEUTRAL
This sentence is neutral as it simply describes a process of communicating changes to subcontractors for accommodating them into the fabrication process."
1,"( ADP News ) - Jan 22 , 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 .","NEGATIVE
The sentence expresses a negative sentiment as it mentions a decrease in Nokia's operating profit from EUR 8 billion in 2007 to EUR 5 billion in 2008."
0,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,"POSITIVE
The sentence expresses a positive sentiment as it indicates an increase in operating profit, which is generally seen as a positive outcome in business."
2,"As part of the transaction , the +ä+ñnekoski paper mill remained in M-real 's ownership and continued Galerie Art production for Sappi under a long-term contract .","NEUTRAL
The sentence describes a business transaction involving the ownership of a paper mill and production for a client under a contract, without expressing any positive or negative sentiment."
0,"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .","POSITIVE
The sentence expresses a positive sentiment as it indicates an increase in dividend proposed by Neste Oil's board for the full-year 2007 compared to the previous year."
2,"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .","NEUTRAL
The sentence is providing a factual statement about when a decision will be made, without expressing any positive or negative sentiment."
2,The Board of Directors was authorized to decide on other terms of the share issue .,"NEUTRAL
This sentence is neutral as it simply states a fact without expressing any positive or negative sentiment."
2,"The gross area of eight houses will be 12,167 m2 .","NEUTRAL
This sentence is providing factual information about the size of the area of eight houses, without expressing any positive or negative sentiment."
0,Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May .,"POSITIVE
The sentence indicates a positive sentiment as the analyst upgraded the recommendation on PaperlinX from ""neutral"" to ""buy"", suggesting optimism and confidence in the company's performance."
2,"The segments through which the company operates are Frozen Food business , Seafoods , Vegetable Oil business , Grain Trading and Other business operations .","NEUTRAL
The sentence provides a neutral description of the various segments through which the company operates without expressing any positive or negative sentiment."
