true_label,original_sent,text_output
2,Setting the horizon on the interest rate caps to reinforce forward guidance on the policy rate would augment the credibility of the yield curve caps and thereby diminish concerns about an open-ended balance sheet commitment.,"DOVISH
The sentence suggests a dovish stance by mentioning reinforcing forward guidance on the policy rate and diminishing concerns about an open-ended balance sheet commitment, indicating a potential easing of monetary policy."
0,"Nonetheless, employment is still 9.5 million below its pre-pandemic level for the economy as a whole.","DOVISH
The statement indicates that there is still a significant gap in employment compared to pre-pandemic levels, suggesting a need for further monetary policy support to stimulate economic recovery."
1,The shifting balance of domestic demand and potential supply in each country means that policies affecting domestic demand will need to be re-calibrated to preserve price stability and keep economies operating at high levels of reserve utilization.,"DOVISH
The sentence suggests that policies affecting domestic demand will need to be re-calibrated to preserve price stability and keep economies operating at high levels of reserve utilization, indicating a more accommodative stance towards monetary policy."
2,"By 2009, the forecasts for both the headline and core PCE price indexes showed inflation receding from its 2008 level, in line with the previous forecasts.","Label: DOVISH
Explanation: The sentence indicates that inflation is expected to decrease from its previous level, which suggests a more accommodative monetary policy stance to support economic growth."
2,"In Japan, private consumption rebounded strongly, and private investment and net exports continued to boost growth.","DOVISH
The sentence indicates a positive outlook on the Japanese economy, with strong private consumption and continued growth in private investment and net exports. This suggests a supportive stance towards monetary policy easing to further stimulate economic growth."
2,"What we really mean is that we would look at—we know that inflation will move around on both sides of the target, and what we say is that we would be equally concerned with inflation persistently above as persistently below the target.","DOVISH
The statement indicates a concern for both inflation persistently above and below the target, suggesting a more cautious and accommodative stance towards monetary policy."
2,"Staff Economic Outlook In the forecast prepared for the March FOMC meeting, the staff's outlook for real economic activity was broadly similar to that at the time of the January meeting.","NEUTRAL
The sentence does not indicate a clear bias towards either tightening or easing of monetary policy, as it simply describes the staff's outlook for real economic activity being similar to previous meetings."
2,"market-based measures of inflation compensation over the next five years, as well as over the five-year period beginning five years ahead, moved down further over the intermeeting period.","Label: DOVISH
Explanation: The decrease in market-based measures of inflation compensation indicates a lack of inflationary pressure, suggesting a need for easing of monetary policy."
2,"Moreover, the outlook for foreign economic activity also appeared a bit weaker.","DOVISH
The mention of weaker foreign economic activity suggests a dovish stance as it may prompt policymakers to consider easing monetary policy to support economic growth."
0,"In contrast, the dollar appreciated against the AFE currencies, reflecting continued divergence in monetary policy expectations for the United States and AFEs as well as political uncertainty in Europe.","Label: HAWKISH
Explanation: The sentence indicates that the dollar appreciated due to divergence in monetary policy expectations, suggesting a tightening of monetary policy in the United States compared to AFEs."
1,"But because the United States has run persistent and sizable primary trade deficits since 1990, the net external debt is now 25 percent of GDP and rising sharply.","DOVISH
The sentence indicates concern about the rising external debt, suggesting a need for potential easing of monetary policy to address the issue."
2,"Some uncertainties, such as those associated with the election, had been resolved, but others persisted, including the prospects for oil prices and their consequences for the economy.","Label: NEUTRAL
Explanation: The sentence does not express a clear bias towards either tightening or easing of monetary policy. It simply states that some uncertainties have been resolved while others persist, without indicating a specific direction for policy."
2,They continued to expect that inflation would move up toward the Committee's 2 percent objective over the medium term as the effects of these transitory factors waned and conditions in the labor market improved further.,"DOVISH
The sentence indicates a belief that inflation will increase towards the target and that labor market conditions will improve further, suggesting a more accommodative stance on monetary policy."
2,"So, we are taking account of international developments, including prospects for growth in our trade partners, in making the forecast we have here.","NEUTRAL
The sentence indicates a neutral stance as it mentions taking into account international developments and growth prospects in trade partners without explicitly leaning towards either tightening or easing of monetary policy."
1,"Even so, the growth of investment spending over this period noticeably outpaced the rise in retained earnings, and thus these corporations turned to the capital markets to fill the widening gap.","DOVISH
The sentence indicates that corporations are relying on capital markets to fill a widening gap, suggesting a need for monetary policy easing to support investment spending."
1,But this belief will persist only as long as we on the Federal Open Market Committee continue to ratify the publicâ€™s expectations that inflation will remain low and stable.,"Label: NEUTRAL
Explanation: The sentence does not explicitly indicate a hawkish or dovish stance on monetary policy. It simply states the importance of maintaining low and stable inflation to uphold public expectations."
0,"Participants agreed that the longer-run normal federal funds rate was likely lower than in the past, in part because of secular forces that had put downward pressure on real interest rates.","Label: DOVISH
Explanation: The sentence suggests that participants believe the longer-run normal federal funds rate is likely lower than in the past due to secular forces putting downward pressure on real interest rates, indicating a dovish stance towards monetary policy."
0,"Moreover, we should recognize that these disinflationary effects could dissipate or even be reversed in coming years.","DOVISH
The sentence suggests a concern about disinflationary effects potentially reversing in the future, indicating a more cautious and accommodative stance towards monetary policy."
2,"Signs of an actual change in inflation were still quite tentative and anecdotal, and they did not warrant an adjustment to policy at this meeting.","Label: DOVISH
Explanation: The sentence indicates a cautious approach towards inflation and suggests that there is no immediate need for a policy adjustment, which aligns with a dovish stance of easing monetary policy."
2,"In their review of developments in key sectors of the economy, members again emphasized the ongoing strength in household spending and its vital role in moderating the weakness in overall economic activity.","Label: DOVISH
Explanation: The sentence emphasizes the strength in household spending and its role in moderating weakness in overall economic activity, suggesting a supportive stance towards economic growth and potentially easing monetary policy."
0,"The ongoing public health crisis will weigh heavily on economic activity, employment, and inflation in the near term, and poses considerable risks to the economic outlook over the medium term.","Label: DOVISH
Explanation: The sentence indicates that the ongoing public health crisis is expected to have a negative impact on economic activity, employment, and inflation, which suggests a need for potential easing of monetary policy to support the economy."
1,Households' longer-term inflation expectations also edged up in both November and December.,"DOVISH
The increase in households' longer-term inflation expectations suggests a potential need for easing of monetary policy to stimulate economic growth."
2,"The vote encompassed approval of the statement below to be released at 2:00 p. m. : ""Information received since the Federal Open Market Committee met in March indicates that growth in economic activity has picked up recently, after having slowed sharply during the winter in part because of adverse weather conditions.","DOVISH
The statement indicates a positive outlook on economic growth, suggesting a potential easing of monetary policy to support further growth."
0,"At the same time, an acceleration in productivity also appears to have a direct disinflationary effect.","DOVISH
The sentence suggests that an acceleration in productivity is leading to disinflation, which could imply a need for easing monetary policy to stimulate inflation."
