Sentence,Actual,Predicted
Setting the horizon on the interest rate caps to reinforce forward guidance on the policy rate would augment the credibility of the yield curve caps and thereby diminish concerns about an open-ended balance sheet commitment.,neutral,neutral
"Nonetheless, employment is still 9.5 million below its pre-pandemic level for the economy as a whole.",dovish,dovish
The shifting balance of domestic demand and potential supply in each country means that policies affecting domestic demand will need to be re-calibrated to preserve price stability and keep economies operating at high levels of reserve utilization.,hawkish,neutral
"By 2009, the forecasts for both the headline and core PCE price indexes showed inflation receding from its 2008 level, in line with the previous forecasts.",neutral,neutral
"In Japan, private consumption rebounded strongly, and private investment and net exports continued to boost growth.",neutral,neutral
"What we really mean is that we would look at—we know that inflation will move around on both sides of the target, and what we say is that we would be equally concerned with inflation persistently above as persistently below the target.",neutral,neutral
"Staff Economic Outlook In the forecast prepared for the March FOMC meeting, the staff's outlook for real economic activity was broadly similar to that at the time of the January meeting.",neutral,neutral
"market-based measures of inflation compensation over the next five years, as well as over the five-year period beginning five years ahead, moved down further over the intermeeting period.",neutral,dovish
"Moreover, the outlook for foreign economic activity also appeared a bit weaker.",neutral,dovish
"In contrast, the dollar appreciated against the AFE currencies, reflecting continued divergence in monetary policy expectations for the United States and AFEs as well as political uncertainty in Europe.",dovish,hawkish
"But because the United States has run persistent and sizable primary trade deficits since 1990, the net external debt is now 25 percent of GDP and rising sharply.",hawkish,opposing
"Some uncertainties, such as those associated with the election, had been resolved, but others persisted, including the prospects for oil prices and their consequences for the economy.",neutral,neutral
They continued to expect that inflation would move up toward the Committee's 2 percent objective over the medium term as the effects of these transitory factors waned and conditions in the labor market improved further.,neutral,neutral
"So, we are taking account of international developments, including prospects for growth in our trade partners, in making the forecast we have here.",neutral,neutral
"Even so, the growth of investment spending over this period noticeably outpaced the rise in retained earnings, and thus these corporations turned to the capital markets to fill the widening gap.",hawkish,neutral
But this belief will persist only as long as we on the Federal Open Market Committee continue to ratify the publicâ€™s expectations that inflation will remain low and stable.,hawkish,neutral
"Participants agreed that the longer-run normal federal funds rate was likely lower than in the past, in part because of secular forces that had put downward pressure on real interest rates.",dovish,dovish
"Moreover, we should recognize that these disinflationary effects could dissipate or even be reversed in coming years.",dovish,dovish
"Signs of an actual change in inflation were still quite tentative and anecdotal, and they did not warrant an adjustment to policy at this meeting.",neutral,neutral
"In their review of developments in key sectors of the economy, members again emphasized the ongoing strength in household spending and its vital role in moderating the weakness in overall economic activity.",neutral,neutral
"The ongoing public health crisis will weigh heavily on economic activity, employment, and inflation in the near term, and poses considerable risks to the economic outlook over the medium term.",dovish,dovish
Households' longer-term inflation expectations also edged up in both November and December.,hawkish,hawkish
"The vote encompassed approval of the statement below to be released at 2:00 p. m. : ""Information received since the Federal Open Market Committee met in March indicates that growth in economic activity has picked up recently, after having slowed sharply during the winter in part because of adverse weather conditions.",neutral,neutral
"At the same time, an acceleration in productivity also appears to have a direct disinflationary effect.",dovish,dovish
"Mr. Kocherlakota dissented because, in his view, the new forward guidance in the fifth paragraph of the statement would weaken the credibility of the Committee's commitment to its inflation goal by failing to communicate purposeful steps to more rapidly increase inflation to the 2 percent target and by suggesting that the Committee views inflation persistently below 2 percent as an acceptable outcome.",dovish,dovish
"Indicators of longer-term inflation expectations are little changed, on balance.",neutral,neutral
"A variety of indicators, along with anecdotal reports, suggested that employment was expanding at a fairly good pace and labor compensation was rising moderately.",hawkish,neutral
A few participants particularly stressed the high uncertainty associated with the expected future path of the unemployment rate and commented that the unemployment rate could rise by considerably more than in the staff forecast.,dovish,dovish
"In contrast, the past few cycles did not see this kind of behavior, and in each case, financial imbalances, rather than goods and services inflation, were notably elevated at the onset of the downturn.",hawkish,dovish
"Although real growth was likely to be moderate in coming quarters, in his view it was unlikely to be slow enough to bring core inflation down.",hawkish,hawkish
"And that, I think, does raise, raise the risk that high inflation will be more persistent.",hawkish,hawkish
"The technical measures we are undertaking do not represent a change in the stance of monetary policy, which we continue to implement by adjusting the target range for the federal funds rate.",neutral,neutral
"I don’t really think asset prices themselves represent a significant threat to financial stability, and that’s because households are in good shape financially than they have been.",dovish,neutral
"By fostering increased interactions among central banks, academics, and the public in many different countries, globalization has helped spread a common culture that stresses the benefits of achieving price stability.",hawkish,hawkish
"The flow of macrodata received since May has been surprisingly strong, and GDP growth in the third quarter is estimated by many forecasters to have rebounded at roughly a 30 percent annual rate.",hawkish,hawkish
"Another example of deficit targets comes from the balanced-budget requirements of the states, which can be viewed as deficit targets with the target set at zero.",neutral,neutral
"with a healthy job market, rising incomes, and upbeat consumer confidence, the fundamentals supporting household spending are solid.",neutral,hawkish
"However, a few participants expressed concern that higher household wealth might not translate into greater consumer spending, cautioning that household income growth remained slow, that households might not treat the additions to wealth arising from recent equity price increases as lasting, or that households' scope to extract housing equity for the purpose of increasing their expenditures was less than in the past.",neutral,neutral
"Staff Economic Outlook In the economic forecast prepared for the January FOMC meeting, the staff's projection for the growth in real gross domestic product (GDP) in the near term was revised down a bit.",dovish,neutral
"The major reason for these significant differences in spending out of household wealth is doubtless that, while home prices do on occasion decline, large declines are rare; the general experience of homeowners is a modest, but persistent, rise in home values that is perceived to be largely permanent.",hawkish,neutral
core CPI inflation remained low.,hawkish,dovish
